[
[,"bb","Address","Princ_L#","Principal File","Init_L#","Initial File","Disassembly", "unhalted_core_cycles", "uops_retired:stall_cycles", "instruction_retired", "uops_retired:any", "load_latency", "mem_uncore_retired:local_dram_and_remote_cache_hit", "mem_uncore_retired:remote_dram", "mem_load_retired:llc_unshared_hit", "dtlb_latency", "dtlb_load_misses:stlb_hit", "dtlb_load_misses:walk_completed", "dtlb_load_misses:walk_cycles", "mem_uncore_retired:other_llc_miss", "mem_uncore_retired:remote_hitm", "mem_uncore_retired:local_hitm", "mem_load_retired:other_core_l2_hit_hitm", "mem_load_retired:l2_hit", "mem_load_retired:hit_lfb", "mem_load_retired:l1d_hit", "load_hit_pre", "instruction_starvation", "l2_rqsts:ifetch_miss", "l2_rqsts:ifetch_hit", "itlb_latency", "itlb_misses:0x10", "itlb_misses:walk_completed", "itlb_misses:walk_cycles", "offcore_requests_outstanding:demand_read_code:c=1", "uops_issued:stall_cycles", "resource_stalls:any", "bandwidth_saturated", "offcore_requests_outstanding:any_read:c=6", "offcore_requests_outstanding:demand_rfo:c=4", "branch_misprediction", "br_misp_retired:all_branches", "baclear:clear", "Wrong_path_cycles", "uops_issued:any", "uops_retired:retire_slots", "uops_issued:any:c=1", "store_resources_saturated", "resource_stalls:store", "offcore_requests_outstanding:demand_rfo:c=1", "instruction_latency", "arith:cycles_div_busy", "arith:div", "exception_handling", "uops_decoded:ms_cycles_active", "port_saturation", "uops_executed:port0", "uops_executed:port1", "uops_executed:port2_core", "uops_executed:port3_core", "uops_executed:port4_core", "uops_executed:port5",],
[,"0:0","1:0","2:3","2_1:0","2_2:0","2_3:0","3:0","3:0","4:0","5:0","6:0","7:12","7_1:0","7_2:0","7_3:0","7_4:3","7_4_1:0","7_4_2:0","7_4_3:0","7_5:0","7_6:0","7_7:0","7_8:0","7_9:0","7_10:0","7_11:0","7_12:0","8:6","8_1:0","8_2:0","8_3:3","8_3_1:0","8_3_2:0","8_3_3:0","8_4:0","8_5:0","8_6:0","9:2","9_1:0","9_2:0","10:3","10_1:0","10_2:0","10_3:3","10_3_1:0","10_3_2:0","10_3_3:0","11:2","11_1:0","11_2:0","12:2","12_1:0","12_2:0","13:1","13_1:0","14:6","14_1:0","14_2:0","14_3:0","14_4:0","14_5:0","14_6:0",],
[,,,,,,,"MSR Programmings", 0x53003c, 0x1d301c2, 0x5300c0, 0x5301c2, 0x0, 0x53080f, 0x53100f, 0x5304cb, 0x0, 0x531008, 0x530208, 0x530408, 0x53200f, 0x53040f, 0x53020f, 0x5308cb, 0x5302cb, 0x5340cb, 0x5301cb, 0x53014c, 0x0, 0x532024, 0x531024, 0x0, 0x531085, 0x530285, 0x530485, 0x1530260, 0x1d3010e, 0x5301a2, 0x0, 0x6530860, 0x4530460, 0x0, 0x5300c5, 0x5301e6, 0x0, 0x53010e, 0x5302c2, 0x153010e, 0x0, 0x5308a2, 0x1530460, 0x0, 0x530114, 0x1d70114, 0x0, 0x15302d1, 0x0, 0x5301b1, 0x5302b1, 0x7304b1, 0x7308b1, 0x7310b1, 0x5320b1,],
[,,,,,,,"Periods", 2000000, 2000000, 2000000, 2000000, 2000000, 10000, 10000, 100000, 2000000, 200000, 200000, 2000000, 10000, 10000, 20000, 50000, 200000, 2000000, 2000000, 10000, 2000000, 20000, 200000, 2000000, 2000000, 200000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 200000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000,],
[,,,,,,,"Multiplex", 10.2840, 10.9521, 8.5301, 11.3997, 10.2840, 10.7063, 10.2510, 10.9885, 10.2840, 11.8524, 11.0362, 12.0500, 9.8851, 8.8144, 1.0000, 1.0000, 11.2852, 11.6176, 11.3617, 11.1490, 10.2840, 12.0432, 11.3739, 10.2840, 1.0000, 11.0130, 11.0101, 45.5312, 11.2412, 11.0315, 10.2840, 11.0898, 29.8968, 10.2840, 11.2459, 11.2564, 10.2840, 10.6725, 10.9280, 11.8244, 10.2840, 17.7254, 29.7156, 10.2840, 10.9182, 5.4465, 10.2840, 10.8657, 10.2840, 11.0675, 9.3708, 22.8201, 13.4728, 11.4322, 11.2346,],
[,,,,,,,"Penalty", 1, 1, 0, 0, 1, 250, 450, 52, 1, 4, 7, 1, 350, 450, 95, 85, 6, 0, 0, 0, 1, 55, 8, 1, 7, 7, 1, 0, 0, 0, 1, 1, 0, 1, 6, 6, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0,],
[,,,,,,,"Cycles", 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0,],
[,1,"0x4c6339",399,,,, " Basic Block 1 <0x4c636f><0x4c6352>", 215, 133, 198, 234, 5, 1, 0, 0, 4, 3, 0, 3, 0, 0, 0, 0, 1, 0, 61, 0, 83, 47, 59, 1, 0, 0, 1, 6, 119, 11, 1, 1, 0, 16, 0, 25, 37, 285, 177, 103, 3, 2, 1, 0, 0, 0, 0, 0, 0, 27, 42, 72, 88, 115, 50,],
[,1,"0x4c6339",398,"c-parser.c",,"","push   %rbp ",  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[,1,"0x4c633a",398,"c-parser.c",,"","mov    %rsp,%rbp ",  26, 21, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 26, 16, 1, 0, 0, 1, 2, 26, 1, 0, 0, 0, 7, 0, 11, 1, 18, 12, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 3, 6, 4, 11, 5,],
[,1,"0x4c633d",398,"c-parser.c",,"","sub    $0x10,%rsp ",  2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0,],
[,1,"0x4c6341",398,"c-parser.c",,"","mov    %rdi,-0x8(%rbp) ",  18, 15, 17, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 8, 2, 1, 1, 0, 1, 0, 2, 9, 41, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12, 14, 11, 2,],
[,1,"0x4c6345",399,"c-parser.c",,"","mov    -0x8(%rbp),%rax ",  19, 16, 18, 17, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 3, 3, 3, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 9, 5, 8, 12, 2,],
[,1,"0x4c6349",399,"c-parser.c",,"","movzwl 0x20(%rax),%eax ",  38, 17, 35, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17, 0, 8, 2, 9, 0, 0, 0, 0, 0, 15, 2, 0, 0, 0, 1, 0, 2, 7, 50, 28, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 9, 9, 19, 6,],
[,1,"0x4c634d",399,"c-parser.c",,"","test   %ax,%ax ",  110, 62, 107, 121, 4, 1, 0, 0, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 28, 0, 0, 0, 0, 2, 51, 6, 0, 0, 0, 6, 0, 10, 17, 153, 102, 61, 1, 1, 0, 0, 0, 0, 0, 0, 0, 14, 21, 39, 51, 57, 34,],
[,1,"0x4c6350",399,"c-parser.c",,"","jne    4c636f  ",  2, 2, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1,],
[,2,"0x4c6352",401,,,, " Basic Block 2 <0x4c5f6f>", 13, 8, 13, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 4, 4, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 11, 7, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 3, 6, 8, 0,],
[,2,"0x4c6352",401,"c-parser.c",,"","mov    -0x8(%rbp),%rdx ",  4, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 0,],
